RC,E
-2.44127,-118455.29768657892
-2.4103,-118455.27057942355
-2.37903,-118455.2304953717
-2.34772,-118455.17878294132
-2.31642,-118455.11552496364
-2.28511,-118455.04062040965
-2.25381,-118454.95401154846
-2.2225,-118454.85559295848
-2.1912,-118454.74526110063
-2.15989,-118454.62296263664
-2.12859,-118454.48855763185
-2.09728,-118454.34198208031
-2.06598,-118454.18310608756
-2.03468,-118454.0118386647
-2.00337,-118453.82803548456
-1.97207,-118453.63160932333
-1.94076,-118453.4224359341
-1.90946,-118453.20033522167
-1.87815,-118452.96517854658
-1.84685,-118452.7167914612
-1.81555,-118452.45495684724
-1.78424,-118452.17948770685
-1.75294,-118451.89006526522
-1.72163,-118451.58648495424
-1.69033,-118451.26837968089
-1.65903,-118450.9353051684
-1.62773,-118450.58684098543
-1.59642,-118450.22247320169
-1.56512,-118449.84159313297
-1.53382,-118449.44350424371
-1.50252,-118449.02748929057
-1.47121,-118448.59252292303
-1.43991,-118448.13775298317
-1.40861,-118447.66212776508
-1.37731,-118447.16437154193
-1.34601,-118446.64338805465
-1.3147,-118446.09778548716
-1.2834,-118445.52632576322
-1.2521,-118444.92758067118
-1.2208,-118444.30008999647
-1.1895,-118443.64261880037
-1.1582,-118442.95379158208
-1.12689,-118442.23224413591
-1.09559,-118441.47678356634
-1.06429,-118440.68614230414
-1.03299,-118439.85925672074
-1.00168,-118438.99505189236
-0.97038,-118438.09243218742
-0.93908,-118437.15037727545
-0.90778,-118436.16777144455
-0.87648,-118435.14350776802
-0.84517,-118434.07677801356
-0.81387,-118432.9665831861
-0.78257,-118431.81250473676
-0.75127,-118430.61448179714
-0.71997,-118429.37376311113
-0.68867,-118428.09222430464
-0.65737,-118426.77311838692
-0.62606,-118425.4213160867
-0.59476,-118424.04285279034
-0.56346,-118422.6451877033
-0.53215,-118421.2366805071
-0.50085,-118419.82715235295
-0.46955,-118418.42657311179
-0.43824,-118417.04606789953
-0.40694,-118415.69681328787
-0.37564,-118414.38980261575
-0.34433,-118413.13682427666
-0.31303,-118411.9488132511
-0.28173,-118410.8365225419
-0.25042,-118409.81035123646
-0.21912,-118408.88005648003
-0.18782,-118408.05439516768
-0.15652,-118407.34144648419
-0.12521,-118406.74816950996
-0.09391,-118406.28045530412
-0.06261,-118405.9429788125
-0.03131,-118405.73911227111
0.0,-118405.67089508586
