,RC,HOMO-alpha,LUMO-alpha,HOMO-beta,LUMO-beta,potencial,dureza
0,-2.44127,292.839858365,117.413302545,292.839858365,117.413302545,205.126580455,-87.71327791
1,-2.4103,292.82103308,117.44467802,292.82103308,117.44467802,205.13285555,-87.68817753
2,-2.37903,292.839858365,117.39447726,292.839858365,117.39447726,205.11716781249999,-87.7226905525
3,-2.34772,292.839858365,117.36937688,292.839858365,117.36937688,205.1046176225,-87.7352407425
4,-2.31642,292.84613346,117.325451215,292.84613346,117.325451215,205.08579233749998,-87.7603411225
5,-2.28511,292.84613346,117.28152555,292.84613346,117.28152555,205.063829505,-87.78230395499999
6,-2.25381,292.84613346,117.23132479,292.84613346,117.23132479,205.03872912499997,-87.80740433499999
7,-2.2225,292.839858365,117.174848935,292.839858365,117.174848935,205.00735365,-87.832504715
8,-2.1912,292.83358327,117.112097985,292.83358327,117.112097985,204.9728406275,-87.86074264250001
9,-2.15989,292.827308175,117.049347035,292.827308175,117.049347035,204.93832760499998,-87.88898057
10,-2.12859,292.814757985,116.98032099,292.814757985,116.98032099,204.8975394875,-87.91721849750002
11,-2.09728,292.79593270000004,116.898744755,292.79593270000004,116.898744755,204.84733872750002,-87.94859397250002
12,-2.06598,292.777107415,116.81716852,292.777107415,116.81716852,204.7971379675,-87.9799694475
13,-2.03468,292.75828213,116.72931719,292.75828213,116.72931719,204.74379966,-88.01448246999999
14,-2.00337,292.739456845,116.635190765,292.739456845,116.635190765,204.687323805,-88.05213304
15,-1.97207,292.714356465,116.534789245,292.714356465,116.534789245,204.624572855,-88.08978360999998
16,-1.94076,292.689256085,116.421837535,292.689256085,116.421837535,204.55554681,-88.133709275
17,-1.90946,292.66415570500004,116.308885825,292.66415570500004,116.308885825,204.48652076500002,-88.17763494000002
18,-1.87815,292.639055325,116.183383925,292.639055325,116.183383925,204.411219625,-88.22783570000001
19,-1.84685,292.613954945,116.057882025,292.613954945,116.057882025,204.33591848499998,-88.27803646
20,-1.81555,292.588854565,115.919829935,292.588854565,115.919829935,204.25434225,-88.33451231500001
21,-1.78424,292.563754185,115.769227655,292.563754185,115.769227655,204.16649092,-88.39726326499999
22,-1.75294,292.538653805,115.61235028,292.538653805,115.61235028,204.0755020425,-88.46315176250002
23,-1.72163,292.51982852000003,115.44919781,292.51982852000003,115.44919781,203.984513165,-88.53531535500002
24,-1.69033,292.501003235,115.267220055,292.501003235,115.267220055,203.884111645,-88.61689159
25,-1.65903,292.48217795,115.078967205,292.48217795,115.078967205,203.78057257749998,-88.7016053725
26,-1.62773,292.475902855,114.88443926,292.475902855,114.88443926,203.6801710575,-88.79573179750001
27,-1.59642,292.46962776,114.67108603,292.46962776,114.67108603,203.57035689499997,-88.89927086499999
28,-1.56512,292.46962776,114.44518261,292.46962776,114.44518261,203.457405185,-89.01222257499998
29,-1.53382,292.475902855,114.206729,292.475902855,114.206729,203.3413159275,-89.13458692750001
30,-1.50252,292.49472814,113.949450105,292.49472814,113.949450105,203.2220891225,-89.27263901750001
31,-1.47121,292.51982852000003,113.685896115,292.51982852000003,113.685896115,203.1028623175,-89.41696620250002
32,-1.43991,292.55120399500004,113.40351684,292.55120399500004,113.40351684,202.97736041750002,-89.57384357750001
33,-1.40861,292.601404755,113.10231228,292.601404755,113.10231228,202.85185851749998,-89.74954623749998
34,-1.37731,292.65788061,112.794832625,292.65788061,112.794832625,202.72635661750002,-89.9315239925
35,-1.34601,292.726906655,112.468527685,292.726906655,112.468527685,202.59771717,-90.129189485
36,-1.3147,292.80848289,112.129672555,292.80848289,112.129672555,202.4690777225,-90.33940516749999
